"X1SEX","X1RACE","X1MOMRESP","X1MOMEDU","X1MOMRACE","X1DADRESP","X1DADEDU","X1DADRACE","X1HHNUMBER","X1SES","X1MTHUTI","X1MTHEFF","X1MTHINT","X1SCIUTI","X1SCIEFF","X1SCIINT","X1SCHOOLBEL","X1SCHOOLENG","X1STUEDEXPCT","X1PAREDEXPCT","X1TMRACE","X1TMCERT","X1LOCALE","X1REGION","X1SCHOOLCLI","X1COUPERTEA","X1COUPERCOU","X1COUPERPRI","X3TGPA9TH","S1NOHWDN","S1NOPAPER","S1NOBOOKS","S1LATE","S1PAYOFF","S1GETINTOCLG","S1AFFORD","S1WORKING","S1FRNDGRADES","S1FRNDSCHOOL","S1FRNDCLASS","S1FRNDCLG","S1HRMHOMEWK","S1HRSHOMEWK","S1HROTHHOMWK","S1SUREHSGRAD","P1BEHAVE","P1ATTEND","P1PERFORM","P1HWOFTEN","X4EVERDROP","X4PSENRSTLV"
"1","8","1","2","8","0","2","8","4",-0.5381,-0.3,-1.14,-1.68,-0.89,-0.89,-1.05,-0.37,0.71,"6","10","8","1","2","3",-0.7,0.23,0.26,-0.33,3,"2","1","1","2","3","4","2","3","1","2","1","1","1","1",1,"1","1","1","1","4","0","2"
"0","8","1","2","8","0","2","8","6",-0.3694,-0.3,-1.02,-0.18,-0.33,-0.59,-1.38,-1,-1,"2","6","8","1","3","2",-0.23,-0.6,-2.67,0,2,"3","3","2","2","3","3","3","2","1","2","1","1","1","1",1,"2","1","1","1","1","0","0"
"0","2","1","1","2","0","0","0","7",-1.7526,-0.3,0.1,-0.66,0.1,0.25,-1.84,-0.39,-0.5,"8","6","5","3","2","3",-0.3,-0.6,0.68,1.1,3.5,"2","2","2","3","3","3","3","3","1","2","1","1","1","2",2,"1","1","1","1","1","0","1"
"0","2","0","4","2","1","7","2","5",1.6587,0.27,-1.02,0.19,0.84,0.56,1.64,0.45,0.23,"8","10","8","5","2","1",-0.69,1.56,1.15,1.1,3.5,"2","1","2","2","3","2","3","4","1","1","1","1","2","2",2,"1","1","1","1","3","0","1"
"0","8","1","4","8","0","7","8","3",2.0218,0.9,0.95,0.96,1.27,1.1,0.15,0.78,1.09,"10","8","8","1","4","3",-1.77,-0.33,0.74,0.69,3.5,"1","1","1","2","4","4","4","4","1","1","1","1","5","5",5,"1","1","1","1","2","0","1"
"1","8","1","2","8","0","2","8","6",-0.0998,0.9,-0.17,0.14,0.1,-0.48,0.16,-0.39,1.01,"2","4","8","1","2","4",-0.7,-1.09,-1.38,-1.11,3.5,"2","1","1","1","3","3","3","2","1","1","1","1","2","1",1,"2","1","1","1","2","0","2"
"1","6","0","2","3","1","2","3","7",-0.2813,-0.93,-0.75,0.19,-1.5,-1.33,-1.38,0.19,-0.07,"10","2","8","1","1","2",0.56,0.31,-0.46,-1.34,2,"2","1","2","3","3","4","2","4","1","1","1","1","1","2",2,"1","2","2","1","1","1","0"
"1","8","1","2","8","0","4","8","4",-0.231,-1.33,-0.17,-0.18,-0.76,0.25,-1,1.1,-0.05,"8","6","8","1","1","3",0.56,-0.8,0.26,0.35,3,"4","1","1","2","4","4","4","4","1","1","1","1","1","1",2,"1","1","1","1","2","0","0"
"1","8","1","2","8","0","2","8","6",-0.5803,0.9,0.55,0.87,1.27,0.68,0.93,0.1,-0.58,"6","4","8","1","4","2",0.22,0.02,-0.75,-0.91,2.5,"3","2","2","2","4","3","4","4","2","2","1","1","2","2",1,"2","1","1","1","3","0","2"
"0","3","1","5","3","0","7","8","3",2.1586,-0.13,1.34,2.08,0.71,1.1,0.16,0.21,1.39,"10","6","8","1","1","4",-2.4,0.66,0.26,1.1,4,"1","1","1","1","4","4","3","4","1","1","1","1","1","1",1,"1","1","1","1","5","0","1"
"1","6","0","0","0","1","2","2","2",0.0865,-1.74,-0.17,0.49,0.66,0.25,0.86,-0.37,0.71,"11","4","8","1","1","4",-0.43,1.07,0.61,1.1,2.5,"2","1","1","2","4","4","3","3","1","2","1","1","2","2",3,"1","1","1","1","3","0","0"
"1","3","1","4","3","0","0","0","4",0.2028,0.27,-0.58,0.39,-0.89,-2.07,-2.59,0.18,0.03,"11","6","2","5","1","3",1.21,0.36,0.21,0.59,1,"3","1","1","3","2","4","4","3","1","2","1","2","2","1",2,"1","2","1","2","4","0","0"
"0","8","1","3","8","0","2","8","5",0.0884,-0.7,0.1,0.19,0.1,-0.05,0.16,0.98,1.39,"8","6","8","1","4","4",-2.12,-0.81,-1.5,0,4,"1","1","1","1","3","3","3","3","1","1","1","1","2","1",3,"1","1","1","1","4","0","1"
"0","6","1","3","6","0","0","0","2",-0.9782,1.31,1.34,1.41,-1.5,-0.05,0.16,-0.39,1.01,"6","8","8","0","4","4",-1.51,-0.8,-0.36,-1.11,2.5,"2","1","1","1","4","4","2","3","1","1","1","1","2","1",3,"1","1","1","1","3","0","0"
"0","3","1","5","3","0","0","0","2",0.984,-0.13,0.1,-0.89,0.1,0.25,1.7,-1.28,0.21,"8","8","8","1","4","3",-1.74,-0.81,-0.56,-0.82,3.5,"3","2","1","1","3","3","3","3","1","1","2","1","1","1",2,"1","1","4","1","2","0","1"
"1","6","1","4","8","0","4","8","4",-0.0322,0.27,0.22,0.86,1.27,1.42,1.64,1.1,1.01,"11","6","8","1","2","3",-0.7,0.23,0.26,-0.33,3,"2","1","1","1","4","3","2","4","1","2","1","1","2","2",4,"1","1","1","1","1","0","1"
"0","5","0","1","5","1","1","5","3",-0.7627,-0.3,0.1,0.55,-1.5,-0.89,-1.82,-0.87,0.23,"4","5","8","1","4","3",0.17,-0.32,0.26,-1.75,2.5,"2","1","2","2","2","3","4","3","1","2","1","1","1","1",1,"1","1","2","1","1","0","2"
"0","8","1","4","8","0","2","8","4",-0.1513,-0.3,0.1,-0.24,1.27,0.25,0.54,-0.04,0.9,"10","6","8","1","4","3",0.56,0.51,-0.9,0.69,3.5,"1","1","2","1","4","4","4","3","1","1","1","1","2","2",3,"1","1","1","1","2","0","1"
"0","8","1","7","8","0","4","8","5",1.7567,-0.93,-0.56,0.19,-0.47,-0.48,0.16,-0.39,1.39,"6","6","8","1","2","1",-0.61,1.07,1.15,1.1,3,"1","1","1","1","2","3","3","3","1","1","1","1","1","1",1,"1","1","1","1","2","1","1"
"1","6","1","2","3","0","5","3","6",0.122,0.74,0.94,0.86,0.66,-0.46,-0.67,0.77,1.01,"10","8","8","1","4","3",-1.42,1.36,1.15,0.8,3.5,"2","1","1","1","1","3","2","4","1","1","1","1","2","2",2,"1","1","1","1","2","0","0"
"1","3","1","2","3","0","2","3","4",-0.3442,0.9,0.1,-0.18,0.1,0.25,0.16,-0.04,1.01,"9","6","8","1","1","2",0.69,-1.57,-0.96,-1.11,3.5,"2","1","1","1","4","4","3","3","2","2","2","1","1","1",1,"1","1","1","1","1","0","1"
"1","5","1","3","5","0","4","8","4",0.9349,0.27,1.34,0.85,-0.28,1.1,0.16,1.59,0.14,"8","8","8","1","2","2",-0.52,0.24,0.68,0.74,2.5,"3","1","2","1","4","4","3","3","1","1","1","1","3","2",4,"1","1","1","1","3","0","4"
"1","8","1","5","8","0","4","8","4",1.4352,0.27,0.1,1.23,0.1,1.83,-0.6,-0.39,0.71,"10","8","8","1","2","4",-1.98,1.09,1.15,1.1,4,"2","1","1","2","4","3","3","3","1","1","1","1","2","1",2,"1","1","1","1","3","0","1"
"1","8","1","1","8","0","3","8","3",-0.1266,-1.74,-2.48,-1.98,-1.88,-1.2,-0.98,-0.95,1.09,"10","10","8","1","2","3",0.25,-1.09,-0.81,-1.66,2,"1","1","1","2","2","4","4","4","2","2","1","1","1","1",1,"1","2","1","1","1","0","0"
"0","3","1","4","6","0","5","3","4",0.9312,0.9,0.55,0.55,0.84,0.28,0.56,0.77,1.09,"8","10","8","1","1","1",-0.63,1.56,1.15,1.1,2,"1","1","1","2","4","4","3","4","1","2","1","1","2","2",3,"1","2","1","2","4","0","1"
"0","5","0","1","4","1","1","5","3",-0.9016,-0.76,-0.58,-0.96,-0.33,-2.91,-2.22,0.1,0.11,"8","11","8","3","1","2",-0.77,-0.6,-1.25,-0.76,1.5,"3","3","2","2","3","3","2","3","1","2","1","1","1","1",1,"2","1","2","2","1","0","0"
"1","8","1","3","8","0","5","8","9",1.0498,-0.3,0.55,0.96,0.1,0.25,0.54,0.21,1.09,"6","8","8","1","1","1",1.74,1.27,1.15,0.74,3.5,"1","1","1","2","4","4","3","3","1","1","1","1","1","1",2,"1","1","1","1","3","0","1"
"0","3","1","2","3","0","0","0","3",-0.4907,1.31,0.1,0.19,1.27,0.25,0.5,-0.04,-0.2,"10","8","8","1","4","3",0.04,1.56,1.15,1.1,3.5,"2","2","2","2","3","3","3","3","1","1","1","1","3","2",2,"1","1","1","1","1","0","1"
"1","3","1","5","3","0","4","3","4",1.2984,-0.3,0.1,0.19,0.1,0.25,0.09,-0.59,0.59,"10","10","8","1","4","3",-0.68,1.36,1.15,1.1,3.5,"2","2","1","1","4","3","3","3","1","1","1","1","1","1",1,"1","1","1","1","3","0","1"
"1","6","1","2","2","0","2","2","6",-0.4024,-1.74,-0.56,-0.66,-0.89,-0.91,-0.54,-0.39,-0.88,"9","10","8","1","2","3",-0.24,0.87,0.55,0.95,3.5,"3","2","2","3","3","3","3","3","1","1","1","1","1","1",1,"1","1","1","1","1","0","1"
"1","6","1","2","6","0","4","8","5",0.0876,-0.3,-0.61,0.19,1.69,0.25,0.93,-0.39,-0.66,"8","6","8","1","2","2",-1.27,1.07,1.15,1.1,2,"4","2","2","1","3","3","3","3","1","1","1","1","1","1",1,"2","1","1","1","4","0","1"
"0","8","1","2","8","0","1","4","7",-0.6659,-1.9,-1.14,-0.96,-0.47,-0.49,0.16,-1.2,-1.06,"8","2","8","1","1","2",-0.57,-0.8,-1.03,-1.18,1.5,"3","2","3","2","2","2","2","2","2","2","1","1","1","1",1,"2","2","3","4","1","1","0"
"0","2","1","5","2","0","0","0","4",1.4591,-0.3,1.21,0.19,1.08,1.41,1.32,0.98,0.67,"10","10","8","1","4","1",-0.66,0.81,-0.56,0,4,"1","2","1","2","4","3","3","3","1","1","1","1","3","4",4,"1","1","1","1","2","0","1"
"0","5","0","0","0","1","2","4","6",-0.8455,0.9,-0.17,-1.68,1.27,0.25,0.16,-0.17,-1.21,"11","11","8","1","4","2",-0.81,0.11,0.55,0.75,2.5,"4","1","4","1","3","3","3","3","1","2","1","1","1","1",1,"1","1","2","1","3","0","0"
"0","8","0","1","8","1","1","8","5",-0.8049,1.31,0.1,-0.18,0.1,-1.02,-0.17,0.49,-0.72,"4","2","8","1","4","4",0.12,0.87,0.61,0.54,3,"4","1","3","1","2","3","3","3","1","1","1","1","1","1",1,"1","1","1","2","3","1","2"
"0","8","1","2","8","0","2","8","6",-0.0649,-0.3,0.1,0.19,-0.89,0.25,0.49,-0.39,0.1,"11","2","2","5","1","3",-0.79,-1.09,-2.13,-1.25,3,"2","2","2","1","2","3","3","2","1","1","1","1","1","1",1,"1","1","1","1","3","0","1"
"0","5","1","2","5","0","0","0","2",-0.4728,1.31,0.1,0.12,0.1,0.25,1.38,0.9,1.01,"10","6","8","1","2","4",-0.7,-1.09,-1.38,0,2.5,"2","1","1","1","4","4","3","4","1","1","1","1","1","1",1,"1","2","1","1","2","0","1"
"1","8","1","4","8","0","2","8","5",0.2802,0.34,0.1,0.57,-0.47,-0.05,0.5,-0.39,-0.2,"6","6","8","1","4","2",-0.09,-1.56,-1.32,-0.76,3.5,"2","2","2","2","3","3","3","3","1","1","1","1","1","1",1,"1","1","1","1","3","0","1"
"0","3","1","2","3","0","0","0","3",0.215,1.31,0.1,0.14,0.66,0.25,0.09,1.59,0.1,"8","6","8","0","2","3",1.67,0.26,0.68,1.1,3.5,"2","2","2","1","3","4","3","3","1","1","1","1","1","2",2,"1","1","1","1","2","1","1"
"0","8","1","2","8","0","0","0","2",-1.0862,-0.3,-1.41,0.19,-3.1,-1.75,-1.5,-0.39,-0.7,"2","1","8","1","3","1",-0.57,-0.8,-1.38,-1.11,1.5,"3","2","2","4","2","3","1","2","1","1","1","1","2","1",1,"1","4","4","4","1","1","0"
"0","5","1","2","4","0","1","4","3",-0.7924,1.31,0.55,0.49,0.28,-0.05,0.16,0.49,0.63,"4","11","8","1","2","4",0.48,0.02,0.05,-0.76,2,"3","1","1","1","1","2","3","4","1","1","1","1","1","1",1,"1","1","2","1","5","0","0"
"0","6","1","2","5","0","2","3","6",-0.7549,1.31,0.1,0.19,1.27,1.83,0.93,0.41,1.01,"6","2","8","1","1","3",0.14,1.07,1.15,1.1,2,"2","1","1","1","1","4","3","4","1","1","1","1","5","5",5,"1","1","1","1","2","0","1"
"0","8","0","2","8","1","2","8","3",-0.2103,-0.13,1.62,1.6,0.71,1.42,2.03,1.59,1.01,"10","11","8","1","2","3",-0.41,-0.6,-0.02,-0.34,1.5,"2","1","1","1","4","4","4","4","1","1","1","1","2","2",2,"1","1","1","1","3","0","0"
"0","8","0","2","8","1","5","8","4",0.3709,-0.93,-0.69,-1.68,1.69,0.25,0.82,-1.18,-0.2,"4","6","8","1","4","3",0.41,0.52,-0.36,0.35,1.5,"2","2","2","2","3","3","3","3","1","1","1","1","1","1",1,"1","2","1","1","3","0","1"
"1","3","1","2","3","0","2","3","3",-0.4293,0.9,-0.41,-0.36,0.28,0.25,-1.44,-0.26,-0.15,"8","10","8","1","2","3",-1.71,-0.54,0.61,0.4,3.5,"3","1","2","2","4","4","3","3","1","1","1","1","1","1",1,"1","2","1","2","3","0","0"
"0","2","1","4","2","0","4","8","3",0.2533,1.31,1.07,-0.36,-1.13,-0.59,-1.84,-0.04,-0.15,"11","6","8","1","1","1",0.39,0.81,-0.15,0,2,"3","1","2","2","4","2","2","3","1","1","1","1","1","1",2,"2","1","1","2","3","0","0"
"0","6","1","3","8","0","3","6","3",0.2807,-0.3,0.1,-0.18,0.1,0.25,1.71,-0.39,1.01,"8","8","8","1","4","3",0.17,0.36,-0.21,-0.25,3.5,"2","1","1","1","3","3","3","3","1","1","1","1","2","2",2,"1","1","1","1","2","0","2"
"1","8","1","2","8","0","0","0","2",-0.7751,0.11,-0.97,-1.43,1.69,-1.74,-2.15,1.09,0.96,"2","10","8","1","2","2",-0.56,-0.8,-0.08,0.35,3.5,"1","2","1","1","2","3","3","3","1","2","1","2","2","1",3,"1","1","2","1","1","0","1"
"0","5","1","2","8","0","5","5","3",0.5592,0.27,1.62,-0.22,0.71,1.09,1.38,1.23,0.48,"10","10","8","1","2","4",-0.61,0.81,-0.15,0,4,"1","2","2","1","4","3","3","3","1","1","1","1","1","1",1,"1","1","1","1","1","0","1"
"1","8","1","4","8","0","0","0","6",0.3202,-0.3,-0.17,0.19,-0.47,-0.05,0.16,-0.39,-0.2,"6","6","8","1","2","2",-0.22,0.78,1.15,1.1,3.5,"2","2","2","2","3","3","3","3","1","1","1","1","1","1",2,"1","1","1","1","2","0","1"
"0","5","1","2","5","0","1","4","9",-1.1259,-0.7,0.1,0.19,-0.33,-0.17,-1,-0.39,-1.71,"6","3","8","1","2","1",-2.56,-0.12,0.21,1.1,1,"2","3","3","4","3","3","2","3","1","2","2","1","1","1",1,"1","4","3","1","1","1","2"
